date,total_cases,people_vaccinated,people_fully_vaccinated,hosp_patients,total_deaths,total_tests,stringency_index,total_cases_diff,people_fully_vaccinated_diff,hosp_patients_diff,total_deaths_diff,total_tests_diff,stringency_index_diff,total_cases_trend,total_cases_seasonal,people_vaccinated_trend,people_vaccinated_seasonal,people_fully_vaccinated_trend,people_fully_vaccinated_seasonal,hosp_patients_trend,hosp_patients_seasonal,total_deaths_trend,total_deaths_seasonal,total_tests_trend,total_tests_seasonal,stringency_index_trend,stringency_index_seasonal,total_cases_seasonal_shift_b_2m,total_cases_seasonal_shift_b_1m,total_cases_seasonal_shift_1m,total_cases_seasonal_shift_2m,total_cases_seasonal_shift_3m,people_vaccinated_seasonal_shift_b_2m,people_vaccinated_seasonal_shift_b_1m,people_vaccinated_seasonal_shift_1m,people_vaccinated_seasonal_shift_2m,people_vaccinated_seasonal_shift_3m,people_fully_vaccinated_seasonal_shift_b_2m,people_fully_vaccinated_seasonal_shift_b_1m,people_fully_vaccinated_seasonal_shift_1m,people_fully_vaccinated_seasonal_shift_2m,people_fully_vaccinated_seasonal_shift_3m,hosp_patients_seasonal_shift_b_2m,hosp_patients_seasonal_shift_b_1m,hosp_patients_seasonal_shift_1m,hosp_patients_seasonal_shift_2m,hosp_patients_seasonal_shift_3m,total_deaths_seasonal_shift_b_2m,total_deaths_seasonal_shift_b_1m,total_deaths_seasonal_shift_1m,total_deaths_seasonal_shift_2m,total_deaths_seasonal_shift_3m,total_tests_seasonal_shift_b_2m,total_tests_seasonal_shift_b_1m,total_tests_seasonal_shift_1m,total_tests_seasonal_shift_2m,total_tests_seasonal_shift_3m,stringency_index_seasonal_shift_b_2m,stringency_index_seasonal_shift_b_1m,stringency_index_seasonal_shift_1m,stringency_index_seasonal_shift_2m,stringency_index_seasonal_shift_3m
2020-03-08,193.66666666666666,0.0,0.0,92.66666666666667,1.6666666666666667,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,-7699.116666666692,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,876.2351190476176,-29.187785838293642,-1147.2309523809547,37.98258432539644,-29367.078571428694,-19421.186488095278,42.91496428571426,-0.9078909970238108,-369.0834089782228,-369.0834089782228,,,,-17793.667375372173,-17793.667375372173,,,,-4775.862070312563,-4775.862070312563,,,,-29.187785838293642,-29.187785838293642,,,,37.98258432539644,37.98258432539644,,,,-19421.186488095278,-19421.186488095278,,,,-0.9078909970238108,-0.9078909970238108,,,
2020-03-15,659.2857142857143,0.0,0.0,298.14285714285717,8.428571428571429,2440.0,37.03428571428571,465.6190476190477,0.0,205.47619047619048,6.761904761904762,2440.0,25.92428571428571,-1858.8809523809732,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,1250.4940476190463,-44.21294704861099,-471.90773809524,20.448754960318126,-365.62500000010186,9300.968273809716,50.634464285714266,-0.6205323660714267,-652.6222234622661,-652.6222234622661,,,,-4812.723811383804,-4812.723811383804,,,,2608.8965234375446,2608.8965234375446,,,,-44.21294704861099,-44.21294704861099,,,,20.448754960318126,20.448754960318126,,,,9300.968273809716,9300.968273809716,,,,-0.6205323660714267,-0.6205323660714267,,,
2020-03-22,2644.5714285714284,0.0,0.0,1233.5714285714287,89.42857142857143,29273.14285714286,61.11000000000001,1519.6666666666665,0.0,935.4285714285716,74.23809523809524,24393.14285714286,24.075714285714298,4613.761904761905,172.99682415679513,0.0,12130.207140997163,0.0,3475.5846186756526,1476.8511904761906,-1.3248518105158773,307.20833333333337,-25.079221230158502,31041.589285714283,14548.774226190419,55.43732142857143,0.47951525297619246,172.99682415679513,172.99682415679513,,,,12130.207140997163,12130.207140997163,,,,3475.5846186756526,3475.5846186756526,,,,-1.3248518105158773,-1.3248518105158773,,,,-25.079221230158502,-25.079221230158502,,,,14548.774226190419,14548.774226190419,,,,0.47951525297619246,0.47951525297619246,,,
2020-03-29,7663.714285714285,0.0,0.0,2906.4285714285716,463.14285714285717,52558.0,78.7,3033.8571428571427,0.0,1672.857142857143,292.7142857142857,-3548.2857142857174,17.589999999999996,9118.839285714284,848.7088082836938,0.0,10476.184045758813,0.0,-1308.6190718006342,2125.0535714285716,74.72558469742053,768.4107142857142,-33.35211805555607,55025.875,-4428.556011904857,69.09428571428572,1.0489081101190454,848.7088082836938,848.7088082836938,,,,10476.184045758813,10476.184045758813,,,,-1308.6190718006342,-1308.6190718006342,,,,74.72558469742053,74.72558469742053,,,,-33.35211805555607,-33.35211805555607,,,,-4428.556011904857,-4428.556011904857,,,,1.0489081101190454,1.0489081101190454,,,
2020-04-05,14781.285714285714,0.0,0.0,2845.8571428571427,1334.0,79790.42857142857,78.7,2098.4285714285716,0.0,-60.571428571428896,497.14285714285717,3947.571428571424,0.0,15170.107142857143,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,2564.892857142857,-29.187785838293642,1463.3392857142858,37.98258432539644,84644.26785714287,-19421.186488095278,76.50125000000001,-0.9078909970238108,-369.0834089782228,-369.0834089782228,-369.0834089782228,,,-17793.667375372173,-17793.667375372173,-17793.667375372173,,,-4775.862070312563,-4775.862070312563,-4775.862070312563,,,-29.187785838293642,-29.187785838293642,-29.187785838293642,,,37.98258432539644,37.98258432539644,37.98258432539644,,,-19421.186488095278,-19421.186488095278,-19421.186488095278,,,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,,
2020-04-12,22112.285714285714,0.0,0.0,2730.5714285714284,2365.714285714286,114523.85714285714,78.7,213.42857142857156,0.0,-115.28571428571422,160.8571428571429,7501.000000000015,0.0,22064.125,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,2577.7678571428573,-44.21294704861099,2326.6428571428573,20.448754960318126,117840.30357142858,9300.968273809716,78.7,-0.6205323660714267,-652.6222234622661,-652.6222234622661,-652.6222234622661,,,-4812.723811383804,-4812.723811383804,-4812.723811383804,,,2608.8965234375446,2608.8965234375446,2608.8965234375446,,,-44.21294704861099,-44.21294704861099,-44.21294704861099,,,20.448754960318126,20.448754960318126,20.448754960318126,,,9300.968273809716,9300.968273809716,9300.968273809716,,,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,,
2020-04-19,29601.714285714286,0.0,0.0,2319.8571428571427,3291.5714285714284,154136.42857142858,78.7,158.42857142857247,0.0,-410.7142857142858,-105.85714285714312,4879.142857142855,0.0,28682.874999999996,172.99682415679513,0.0,12130.207140997163,0.0,3475.5846186756526,2288.1071428571427,-1.3248518105158773,3223.607142857143,-25.079221230158502,153737.51785714287,14548.774226190419,78.7,0.47951525297619246,172.99682415679513,172.99682415679513,172.99682415679513,,,12130.207140997163,12130.207140997163,12130.207140997163,,,3475.5846186756526,3475.5846186756526,3475.5846186756526,,,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,,,-25.079221230158502,-25.079221230158502,-25.079221230158502,,,14548.774226190419,14548.774226190419,14548.774226190419,,,0.47951525297619246,0.47951525297619246,0.47951525297619246,,
2020-04-26,35858.71428571428,0.0,0.0,1923.142857142857,4167.428571428572,193263.0,78.7,-1232.428571428576,0.0,-396.71428571428555,-49.999999999999545,-486.00000000001455,0.0,34253.28571428571,848.7088082836938,0.0,10476.184045758813,0.0,-1308.6190718006342,1935.017857142857,74.72558469742053,4024.0892857142853,-33.35211805555607,189636.98214285713,-4428.556011904857,78.7,1.0489081101190454,848.7088082836938,848.7088082836938,848.7088082836938,,,10476.184045758813,10476.184045758813,10476.184045758813,,,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,,,74.72558469742053,74.72558469742053,74.72558469742053,,,-33.35211805555607,-33.35211805555607,-33.35211805555607,,,-4428.556011904857,-4428.556011904857,-4428.556011904857,,,1.0489081101190454,1.0489081101190454,1.0489081101190454,,
2020-05-03,39536.28571428572,0.0,0.0,1511.857142857143,4805.428571428572,226263.14285714287,78.7,-2579.4285714285616,0.0,-411.2857142857142,-237.85714285714312,-6126.428571428551,0.0,38482.76785714286,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,1586.5357142857144,-29.187785838293642,4679.982142857143,37.98258432539644,223754.8392857143,-19421.186488095278,77.77499999999999,-0.9078909970238108,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,
2020-05-10,41920.57142857143,0.0,0.0,1239.857142857143,5298.142857142857,255246.85714285713,78.7,-1293.2857142857247,0.0,-272.0,-145.28571428571468,-4016.428571428609,0.0,41363.28571428572,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,1292.5535714285713,-44.21294704861099,5171.357142857142,20.448754960318126,255729.7857142857,9300.968273809716,75.925,-0.6205323660714267,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,
